year,title,description
1994,Lightning Jack ,"Lightning Jack Kane, a long-sighted Australian outlaw in the American west, lives with his horse, Mate.  After the rest of his gang is killed in a robbery-gone-wrong, Jack survives only to read of the events in the newspaper that he was nothing next to others.  Annoyed at not being recognised as an outlaw, Jack attempts a robbery by himself, and ends up taking young mute Ben Doyle as a hostage. He later discovers that, tired of never having been treated with respect due to his disability and his race, Ben wishes to join him.
Jack attempts to teach Ben how to fire a gun and rob banks, with his first attempt at ""on-the-job"" training ending with Ben shooting himself in the foot. Across the course of the training, they pay occasional visits to saloons where Jack shows Ben the truth about adult life, including helping him to lose his virginity. However, the true nature of the saloon visits is for Jack to make contact with showgirl Lana Castel, who, unbeknownst to Jack, is madly in love with him.
When Ben's training is complete, the two learn of a bank which is said to have the entire town armed and ready to protect it. Jack sees this as the test he has been waiting for, and together they hatch a plan to rob it. Everything seems to be going smoothly and they are set to begin, until Jack discovers that a rival gang of outlaws is also planning to rob the bank. He is prepared to give up when Ben has a plan of his own.
Ben silently tips off the townspeople, who quickly swarm the bank with the rival outlaws inside. The gang is arrested and the entire town celebrates, allowing Jack and Ben to slip unnoticed into the bank and swiftly strip it clean. Before leaving, Jack jumps into the celebrations, ensuring that his grinning face is seen at the top of the town photo. By the time the true robbery is discovered, the two - and Lana - are gone, with a bounty of thousands on their heads and all of America searching for them - the life that Jack had always wanted."
1993,M. Butterfly ,"The first act introduces the main character, René Gallimard, a civil servant attached to the French embassy in China. In a prison, Gallimard is serving a sentence for treason. Through a series of flashbacks and imagined conversations, Gallimard tells an audience his story about a woman that he loved and lost. He falls in love with a beautiful Chinese opera singer, Song Liling. Gallimard is unaware that all female roles in traditional Beijing opera were actually played by men, as women were banned from the stage. The first act ends with Gallimard returning to France in shame and living alone after his wife, Helga, finds out about his affair with Song and divorces him.
In act two it is revealed that Song had been acting as a spy for the Chinese government, and she is actually a man who has disguised himself as a woman to seduce Gallimard and extract information from him. They stay together for 20 years and married until the truth is revealed, and Gallimard is convicted of treason and imprisoned. Unable to face the fact that his ""perfect woman"" is a man, he retreats deep within himself and his memories. The action of the play is depicted as his disordered, distorted recollection of the events surrounding their affair. 
In act three, Song reveals himself to the audience as a man, without makeup and dressed in men's clothing. Gallimard claims he only loved the idea of Butterfly, never Song himself. Gallimard throws Song and his clothing off the stage, but holds onto Butterfly's kimono. In scene three, the setting returns to Gallimard's prison cell, as he puts on makeup and Butterfly's wig and kimono. Then he stabs himself, committing suicide just as Butterfly does in the opera."
1993,Manhattan Murder Mystery ,"Larry Lipton and his wife Carol meet their older neighbors Paul and Lillian House in the elevator in a pleasant encounter. The following night, Lillian is found to have died of a heart attack. The Liptons are surprised by the death because she seemed so healthy and are suspicious of Paul's cheerfulness so soon after his wife's death. Carol starts to investigate, even inventing an excuse to visit him. A urn she finds in Paul's apartment contradicts his story that Lillian had been buried. Larry becomes frustrated with Carol, telling her she's ""inventing a mystery"". Carol sneaks into Paul's apartment while he's away and finds more telling signs. Lillian's urn is missing, there are two tickets to Paris and hotel reservations with a woman named Helen Moss. Carol calls Ted, a close friend who agrees with Carol's suspicions and urges her to keep snooping. When Paul returns unexpectedly, Carol hides under the bed and overhears Paul's conversation with a woman who she suspects is Helen Moss.
Ted and Carol track down where Helen Moss lives, they follow her to a theater owned by Paul. They discover that Helen is a young actress and eavesdrops on them talking about money. A few days later, Carol spots a woman who's a dead ringer for the supposedly dead Lillian on a passing bus. Upon Larry's suggestion that she has a twin, Ted investigates but finds Lillian has none. Larry and Carol follow her to a hotel and, under the pretense of delivering a personal gift, they enter her hotel room, but find her lying dead on the bedroom floor. They call the police, who subsequently find no trace of the dead body. The Liptons search the room for clues. While leaving, they get trapped in the lift and accidentally stumble across Lillian's body inside the emergency exit panel. At that moment, the lights go out and the Liptons stumble into the basement in pitch darkness. Upon exiting the street, they spot Paul putting the body in the trunk of his car. They follow him to a junkyard where they witness him disposing of the body in a melting furnace.
The Liptons meet Ted and Larry's friend and client Marcia Fox and hatch a plan to bring Paul to justice by telling him they retrieved Lillian's body from the furnace and tricking Helen into a fake audition where her voice is recorded, edited, and later used to harass Paul, by demanding he gives Larry and Carol $200,000 or kill them if he wanted everything covered up. Marcia also tells them her theory that the dead body in the apartment is Lillian's rich sister who looked similar to her and that when she visited the Houses she had a heart attack. They then took advantage of the situation by claiming Lillian had died so that they could profit from her will. However, Paul double-crossed Lillian and killed her so that he could run away with Helen who he had been having an affair with.
The plan backfires as Paul kidnaps Carol and calls Larry, demanding Lillian's body, in exchange for Carol. Paul and Larry meet in the theater and get into a scuffle. Larry breaks free and searches for Carol, with Paul in pursuit. An array of mirrors and glass behind the theater reflect the film being screened (Orson Welles' The Lady from Shanghai) and mislead Paul several times. Suddenly, Paul's loyal assistant Mrs. Dalton, an older paramour earlier brushed aside by him in favor of Helen, shoots him in an exchange of gunfire. Larry rescues Carol and they call the police. After the cops arrive, Marcia discusses with Ted that her theory was correct and they arrange to have dinner together."
1993,Menace II Society ,"Caine Lawson and his best friend Kevin ""O-Dog"" Anderson enter a liquor store to buy some malt liquor, where a Korean cashier and his wife rush them to pay for their drinks and leave, suspecting that they might be trying to steal something. After their purchase, the cashier insults and provokes O-Dog by saying, ""I feel sorry for your mother."" Consequently, O-Dog argues with him, fatally shoots both the cashier and his wife, takes the surveillance tape, robs the clerk's wallet and the cash register, and flees with Caine.
In a voice-over, Caine reveals that his father Tat, a drug dealer, was killed in a drug deal gone wrong when Caine was 10, and his mother Karen, a heroin addict, died of a drug overdose. This led to his grandparents raising him in the crime-ridden Jordan Downs housing projects.
O-Dog flaunts the surveillance tape to his admiring friends, greatly annoying Caine. Later, Caine and his cousin Harold are carjacked en route from a party, with Caine being wounded and Harold being murdered. After learning the carjackers' whereabouts, Caine, O-Dog, and their friend A-Wax, an OG, hunt them down and kill them, avenging Harold's death.
Caine and O-Dog attempted to steal a car then got caught and bitten by a police dog. The two men get arrested after a failed car theft attempt. Caine's fingerprints match those taken from a beer bottle he dropped in the liquor store on the night of the murders, and though he is interrogated by a detective who tricks him by changing the times to confuse him, he soon walks free nonetheless as the police fail to link him. Caine's friends, Stacy and Sharif, try to convince him to accompany them to Kansas, and both his grandfather and Sharif's father warn him that he will either end up dead or imprisoned unless he changes his ways. Caine, nevertheless, ignores all advice.
After buying a Ford Mustang from a chop shop, Caine carjacks another young black man for his gold Dayton wire wheels and his jewelry, subsequently orders some double cheeseburgers at the fast food restaurant, then purchases a large quantity of cocaine, planning to sell it as crack. Caine also meets a local girl named Illena and eventually has sex with her. While driving one night, he and Sharif are pulled over and beaten by cops. The two are dumped in a Hispanic neighborhood, but the Hispanic gang members surprisingly take them to a hospital rather than beat them further as feared. During his hospitalization, Caine's friend Ronnie invites him to accompany her to Atlanta, where she has found a job. Initially hesitant, he ultimately agrees.
At a party, Chauncey, a confederate of Caine in an insurance scam, drunkenly moves sexually towards Ronnie. Caine rescues her and starts pistol-whipping Chauncey, prompting Stacy and Sharif to restrain him. Illena calls Caine and tells him she's pregnant, but he denies paternity and drops her. Chauncey retaliates by sending a copy of the surveillance tape to the police, who begin hunting Caine and O-Dog, now wanted for the liquor store crimes. Doc, Caine & O-Dog's friend, alerts O-Dog and others of Chauncey's actions, forcing O-Dog and Caine to hide out at Ronnie's and other friends' houses. O-Dog vows to murder Chauncey if the police don't catch him first.
Meanwhile, Caine brutally stomps Illena's cousin when he confronts Caine outside his grandparents' house about the pregnancy. After witnessing the stomping, Caine's grandparents decide that it is best for him to not live with them anymore, despite his pleas to stay until he moves to Atlanta. Meanwhile, Illena's cousin gathers his friends to get revenge on Caine.
As Caine and Ronnie are preparing to leave for Atlanta, Illena's cousin and his friends drive by Ronnie's house and engage in a drive-by shootout. Sharif is killed instantly, while Caine is fatally wounded trying to protect Ronnie's son, Anthony. Stacy and Ronnie come running out of the house screaming for help. O-Dog retaliates at the attackers and is unharmed and Stacy tells him to get help. As Caine slowly dies, he recalls his grandfather asking him if he cares whether he lives or dies, and he realizes in his dying moment that he does."
1996,Executive Decision ,"Lieutenant Colonel Austin Travis leads an unsuccessful Special Forces black ops raid on a Chechen mafia safe house in Trieste, Italy, to recover a stolen Soviet nerve agent, DZ-5. Three months later, Oceanic Airlines Flight 343, a Boeing 747-200, leaves Athens bound for Washington, D.C., with over 400 passengers aboard including Nagi Hassan, lieutenant of the imprisoned terrorist leader El Sayed Jaffa. Hassan and his men hijack the flight, demanding Jaffa's release. Meanwhile, just moments before the hijacking, a suicide bomber working for Jaffa destroys a London Marriott hotel restaurant.
Dr. David Grant, the U.S. Army intelligence consultant behind the botched raid, is summoned to a meeting at the Pentagon to plan an operation to retake the plane. Grant doubts Hassan's demands, suspecting he engineered Jaffa's capture, and intends to use the 747 to detonate a bomb loaded with the DZ-5 in U.S. airspace. The Pentagon authorizes a mid-air insertion of Travis' special operations team onto the hijacked airliner using the experimental ""Remora F117x"" aircraft. Grant and DARPA engineer Dennis Cahill reluctantly join the mission.
The Remora intercepts and docks with the airliner. Grant, Cahill, and team members Cappy, Baker, Louie and Rat successfully board but Cappy is injured after a fall. Severe turbulence strains the docking tunnel. Travis sacrifices himself by closing the 747's hatch before it decompresses. The Remora is destroyed along with the team's communications equipment, leaving the Pentagon unaware of their survival. They conduct a covert search for the bomb, hoping to neutralize it and storm the cabin. Grant accidentally reveals who he is to flight attendant Jean, but successfully recruits her to assist their search, despite Hassan's suspicions.
The team locates the bomb and Cappy, despite his injuries, guides Cahill in disarming it until they discover its arming device has an additional, remote-controlled trigger. Jaffa, released by U.S officials in an attempt to resolve the situation, calls Hassan from a private jet to tell him he is on his way to Algeria, but Hassan abruptly ends the call. Grant and the others realize Hassan's men are unaware of the bomb and Hassan's true intentions, after he kills one of them for rebuking him. He also inadvertently reveals that one of the passengers is a sleeper agent and the trigger-man for the bomb.
The Pentagon dispatches U.S. Navy F-14 Tomcats to shoot down the 747, prompting Hassan to execute U.S. Senator Mavros (a passenger) as a warning.  Baker uses Morse code via the 747's taillights to signal the fighters that the team made it aboard, requesting an extra ten minutes to neutralize the bomb and retake the 747, despite already crossing into U.S. airspace. Jean spots a man with an electronic device and informs Grant, who enters the passenger cabin to take the suspected individual by surprise, only to find he is merely a diamond thief. Grant spots the real sleeper, Demou, and fights him for the detonator. Hassan attempts to shoot Grant, but is himself shot by an on-board air marshal.
The commandos storm the cabin as a firefight ensues. Grant struggles to wrestle the detonator from Demou's grip while Baker and Rat gun-down several terrorists. Louie assists Grant by fatally shooting Demou and eliminating the remaining terrorists. Demou, however, manages to arm the bomb before dying, and stray bullets from a terrorist's weapon pierce a window causing explosive decompression. The bomb is disarmed just in time by Cappy and Cahill as the 747 stabilizes. Hassan kills the pilots and damages the controls, before being shot and killed by Rat.
Despite his limited flying experience and poor flying technique, Grant takes control of the 747 and attempts a landing but misses the approach to Dulles International Airport. Grant recognizes the area surrounding his training airfield, Frederick Field and attempts to land the 747 there. With Jean's assistance, Grant successfully lands the airliner and the passengers are safely evacuated. Grant is saluted by Baker, Louie, Rat and Cappy for his leadership before being summoned to the Pentagon."
1976,In the Realm of the Senses ,"In 1936 Tokyo, Sada Abe is a former prostitute who now works as a maid in a hotel. The hotel's owner Kichizo Ishida molests her, and the two begin an intense affair that consists of sexual experiments and various self-indulgences. Ishida leaves his wife to pursue his affair with Sada. Sada becomes increasingly possessive and jealous of Ishida, and Ishida more eager to please her. Their mutual obsession escalates until Ishida finds that she is most excited by strangling him during lovemaking, and he is killed in this fashion. Sada then severs his penis. While she is shown next to him naked, it is mentioned that she will walk around with his penis inside her for several days. Words written with blood can be read on his chest: ""Sada Kichi the two of us forever."""
1993,Mrs. Doubtfire ,"Daniel Hillard is a freelance voice actor living in San Francisco. Though he is a devoted father to his three children—14-year-old Lydia, 12-year-old Christopher “Chris”, and 5-year-old Natalie—his wife Miranda, an architect, considers him unreliable. One day, Daniel quits his job following a disagreement over a morally questionable script and returns home to throw a chaotic birthday party for Chris, despite Miranda's objections due to Chris’s bad report card. This infuriates Miranda to the point where she files for divorce. At their first custody hearing, the court grants sole custody of the children to Miranda; shared custody is contingent on whether Daniel finds a steady job and a suitable residence within three months.
As Daniel works to rebuild his life, securing himself an apartment and a new job as a shipping clerk at a TV station, he learns that Miranda is seeking a housekeeper. Daniel secretly alters her classified ad form, then calls Miranda while using his voice acting skills to pose as a series of undesirable applicants. Daniel finally calls Miranda as ""Mrs. Euphegenia Doubtfire"", an elderly British nanny with strong credentials, taking his last name from a newspaper headline titled ""Police Doubt Fire was Accidental"". Miranda is impressed and invites Mrs. Doubtfire for an interview. Daniel asks his brother Frank, a makeup artist, and Frank's domestic partner, Jack, to create a Mrs. Doubtfire costume, including a prosthetic mask to make him appear as an old woman.
Miranda hires Mrs. Doubtfire following a successful interview. The children initially struggle under Mrs. Doubtfire's authority but soon come around and thrive and Miranda learns to become closer with her children. Daniel learns several household skills as part of the role, further improving himself. However, this later creates another barrier for him to see his children, as Miranda puts more trust in Mrs. Doubtfire than him and cannot bring herself to dismiss her. Lydia and Chris later discover that Mrs. Doubtfire is actually Daniel, but they agree to keep his secret.
One day, the station's CEO Jonathan Lundy sees Daniel playing with toy dinosaurs on the set of a recently canceled children's show. Impressed by his voice acting and imagination, Lundy invites Daniel to discuss his plans for the show over dinner, which turns out to be at the same place and time as a planned birthday dinner for Miranda by her new boyfriend Stu Dunmeyer, to which Mrs. Doubtfire is invited. Unable to change either appointment, Daniel changes in and out of the Mrs. Doubtfire costume to attend both events. Becoming drunk, Daniel slips up when he accidentally returns to Lundy in his costume, but Daniel quickly claims that Mrs. Doubtfire is his idea for the new show. After overhearing that Stu is allergic to pepper, Daniel sneaks into the kitchen and seasons Stu's order of jambalaya with powdered cayenne pepper. Stu chokes on his dinner, and Daniel, feeling guilty, administers the Heimlich maneuver as Mrs. Doubtfire. The action causes the prosthetic mask to partially peel off Daniel's face, revealing his identity and horrifying Miranda, who storms out of the restaurant with the kids. Stu however thanks Daniel for saving him.
At their next custody hearing, Daniel points out that he has met the judge's requirements, then explains his actions. The judge, noting Daniel's acting abilities, dismisses his words as another act and, finding his role as Mrs. Doubtfire unorthodox, grants Miranda full custody of the kids and further restricts Daniel's rights to supervised Saturday visits. This devastates him and Miranda, who begins to realize that her anger and resentment towards Daniel has been hurting the family. Without Mrs. Doubtfire, Miranda and the kids become miserable, acknowledging how much ""she"" improved their lives. They are then surprised to discover that Daniel, as Mrs. Doubtfire, is hosting a new children's show called Euphegenia's House, which becomes a nationwide hit.
Miranda visits Daniel on set after filming and admits that things were better when he was involved with the family. She then arranges joint custody, allowing Daniel as himself to take the children after school. As Daniel leaves with the kids, Miranda watches an episode of Euphegenia's House in which Mrs. Doubtfire answers a letter from a young girl named Katie McCormick, whose parents have separated, saying no matter what arrangements families have, love will prevail."
1994,Radioland Murders ,"In 1939, a new radio network based at station WBN in Chicago, Illinois, begins its inaugural night. The station's owner, General Walt Whalen, depends on his employees to impress main sponsor Bernie King. This includes writer Roger Henderson, assistant director Penny Henderson (Roger's wife, seeking divorce), page boy Billy Budget, engineer Max Applewhite, conductor Rick Rochester, announcer Dexter Morris, director Walt Whalen, Jr. and stage manager Herman Katzenback. After King commissions rewrites on the radio scripts, the WBN writers get angry, complaining that they have not been paid in weeks.
When trumpet player Ruffles Reedy falls dead from rat poisoning, a series of events ensue. Director Walt Jr. is hanged (the mysterious killer makes it look like a suicide), and his father, the General, has the Chicago Police Department (CPD) get involved to solve the murder mysteries as the nightly radio performance continues. Katzenback is then killed after attempting to fix the main stage when the machinery malfunctions. Penny is appointed both stage manager and director due to Walt Jr. and Katzenback's deaths. Roger tries to solve the killings, greatly annoying the police, led by Lieutenant Cross.
Because Roger unfortunately appears at every crime scene just as the murders take place, he is ruled as the prime suspect. Roger and Billy Budget then theorize that announcer Dexter Morris is the next to die. Dexter ignores their warning and is fatally electrocuted. By going through private documents in WBN's file room, Roger finds that the victims all previously worked together at a radio station in Peoria, Illinois, which he then correlates into a secretive FCC scandal. King (laughing gas) and General Whalen (falls down an elevator shaft) are the next to die after Roger's warning, making the police even more suspicious.
After escaping from custody, Roger uses Billy to communicate and send scripts to Penny. When rewriting one of the programs, Gork: Son of Fire, Roger attempts to write the script with self-referential events, proving to everyone that the mysterious killer is actually sound engineer Max Applewhite. Max explains that his killings were a revenge scheme that dealt with stockholders and patents, specifically detailing his invention of television, which other scientists have copied. Max takes Roger and Penny atop the radio tower at gunpoint, but is eventually killed when a biplane shows up and guns him down. Impressed by the nightly performance, the sponsors decide to fund WBN. Roger and Penny reconcile their complex relationship and decide not to divorce."
1993,RoboCop 3 ,"In a dystopian future, the conglomerate Omni Consumer Products (OCP) have succeeded in their plan from prior films and have acquired the city of Detroit via bankruptcy, but are now struggling with their plans to create the new Delta City. The Delta City dream of the now-deceased OCP CEO lives on with the help of the Japanese Kanemitsu Corporation, which has bought a controlling stake in OCP and is trying to finance the plan.  Kanemitsu, CEO of the Kanemitsu Corporation, proceeds with the plans to remove the current citizens in order to create Delta City, but is doubtful about the competence of his new ""partners"". 
Due to passive resistance by the Detroit Police Department toward mass eviction, OCP creates a heavily armed private security force called the Urban Rehabilitators, nicknamed ""Rehabs"", under the command of Paul McDaggett, to forcibly relocate the evicted citizens such as the residents of the now condemned Cadillac Heights. Nikko Halloran, a young resident of Cadillac Heights skilled with computers, loses her parents in the relocation process.
RoboCop and his partner Anne Lewis try to defend civilians from the Rehabs one night, but McDaggett mortally wounds Lewis, who eventually dies. Unable to fight back because of his ""Fourth Directive"" programming, RoboCop is saved by members of a resistance movement composed of Nikko and residents from Cadillac Heights and he eventually joins them. Because he was severely damaged during the shoot-out, RoboCop's systems efficiency plummets, and he asks the resistance to summon Dr. Marie Lazarus, one of the scientists who created him. Upon arrival she begins to treat him, deleting the Fourth Directive in the process. During an earlier raid on an armory, the resistance picked up a jet-pack prototype, originally intended for RoboCop's use, which Lazarus modifies and upgrades to hold RoboCop.
After recovering from his injuries, RoboCop conducts a one-man campaign against the Rehabs and OCP. He finds McDaggett and attempts to subdue him. However, McDaggett successfully escapes and then obtains information from a disgruntled resistance member about where the resistance fighters' base is located. CEO Kanemitsu has developed his own ninja androids called ""Otomo"" and sends one to assist McDaggett overcome the resistance of anti-OCP militia forces. The Rehabs attack and most of the resistance members are either killed or taken prisoner. When RoboCop returns to the rebel base to find it abandoned, one Otomo unit arrives and attacks him. RoboCop experiences another power drain and his left arm and auto gun is destroyed, but eventually he successfully overcomes his opponent with his arm-mounted gun. Nikko infiltrates the OCP building and assists a captured Lazarus in broadcasting an improvised video, revealing OCP as responsible for the city's high crime rates and incriminating them for removing and killing the Cadillac Heights residents. The broadcast causes OCP's stock to plunge, financially ruining and bankrupting the company.
Meanwhile, McDaggett decides to execute an all-out strike against Cadillac Heights with the help of the Detroit police, but the police officers, enraged at the company's callous ways, refuse to comply and instead defect to the resistance, escalating the rebellion against OCP into a full-scale war. As a result, McDaggett turns to hiring street gangs and hooligans to assist with his plans.
Having heard Lazarus' broadcast, RoboCop provides aerial support for the entrenched resistance forces. He then proceeds to the OCP building and confronts the waiting McDaggett. RoboCop is then attacked, and nearly defeated, by two Otomo robots. Nikko and Lazarus succeed in reprogramming them using a wireless link from a laptop computer, having them attack each other. The Otomos' self-destruct system activates, forcing RoboCop to flee with Nikko and Lazarus. The flaming discharge from the jetpack immobilizes McDaggett, leaving him to perish in the blast.
As Old Detroit is being cleaned up, Kanemitsu arrives and finally comes face to face with RoboCop along with his group, while his translator tells the OCP president on Kanemitsu's behalf that he is fired, as the corporation shuts down OCP for good and plans to leave Detroit. Kanemitsu then bows to RoboCop and the group in respect. The CEO compliments RoboCop and asks for his name, to which he responds with, ""My friends call me Murphy. You call me RoboCop."""
1993,Robin Hood: Men in Tights ,"Robin of Loxley is captured during the Crusades and is imprisoned in Jerusalem. With the help of fellow inmate Asneeze, he escapes and frees the other inmates. Upon returning to England, Robin finds Asneeze's son, Ahchoo, and discovers that Prince John has assumed control while King Richard is away fighting in the Crusades. Unbeknownst to Richard, the prince is abusing his power. Robin returns to his family home, Loxley Hall, only to find it being repossessed by John's men. His family's blind servant, Blinkin, informs Robin that his family is dead, and his father left him a key which opens ""the greatest treasure in all the land.""
Robin recruits Little John and Will Scarlet O'Hara to help regain his father's land and oust Prince John from the throne. On his quest, Robin attracts the attention of Maid Marian of Bagelle, who wants to find the man who has the key to her Everlast chastity belt. They are also joined by Rabbi Tuckman, who shares with them his sacramental wine and bargain circumcisions.
While Robin is training his band of tights-clad Merry Men, the spoonerism-spouting Sheriff of Rottingham hires the mafioso Don Giovanni to assassinate Robin at the Spring Festival. They plan to hold an archery tournament to attract Robin. Maid Marian hears of the plot, and sneaks out of her castle to warn Robin, accompanied by her heavyset, German lady-in-waiting, Broomhilde.
At the archery tournament, a disguised Robin makes it to the final round, but loses after his arrow is split in two by his opponent. Confused that he lost, Robin reviews the movie's script to discover that he gets another shot. Giovanni's assassin attempts to kill Robin by shooting at him with a scoped crossbow from Royal Folio Depository, but Blinkin catches the arrow in midair. Robin then takes the second shot, this time using a special ""PATRIOT arrow"", hitting the target. Robin is arrested, with Marian promising to marry the Sheriff to spare his life.
Robin and the Merry Men interrupt the wedding between the Sheriff and Maid Marian. She is carried off to the tower by the Sheriff, who wants to deflower her but cannot open her chastity belt. Robin arrives and duels the sheriff, during which Robin's key falls into the lock of Marian's chastity belt.
After winning the fight Robin spares the Sheriff's life only to miss his sheath and accidentally run the Sheriff through. The witch Latrine, Prince John's cook and adviser, saves him by giving him a magical Life Saver in exchange for marriage. Before Robin and Marian can attempt to open the lock, Broomhilde arrives, insisting they get married first. Rabbi Tuckman conducts the ceremony, but they are suddenly interrupted by King Richard, recently returned from the Crusades, who orders Prince John to be taken away to the Tower of London and made part of the tour.
Robin and Marian are married, and Ahchoo is made the new sheriff of Rottingham. That night, Robin and Maid Marian attempt to open the chastity belt, only to discover that even with the key, the lock won't open. The film ends with Robin calling for a locksmith."
1993,Romeo Is Bleeding ,"Jack Grimaldi is a homicide detective with the NYPD who seems to have everything; a beautiful wife named Natalie, and an adoring teenage mistress named Sheri. However, his lavish lifestyle is funded through extensive corruption, doing favors for Mafia boss Don Falcone in exchange for large cash bribes. His latest task is to reveal the location of Nick Gazarra, a mobster-turned-state's witness protected by federal agents. Gazarra and his protection detail are subsequently killed by a mob hitwoman, Mona Demarkov. Grimaldi is disaffected by this outcome, being uncomfortable with his complicity in the deaths of other law enforcement personnel.
Mona is arrested and Falcone gives Jack a new assignment, to kill Mona, whom he fears could not only testify against him, but be planning to take over his entire operation. Still reluctant about his double life, Jack is assigned as Mona's minder as she is transported to a safe house to await pick-up by federal agents. Upon arrival, Mona quickly seduces and tries to kill him, but their impromptu tryst is interrupted by the arrival of the agents and Jack leaves her to be detained.
Falcone, disappointed in Jack's ineptitude, orders one of his toes amputated. Realizing he has endangered both his wife and mistress, Jack instructs Natalie to leave the city immediately, giving her all the payoff money he has saved as well as instructions of where to meet him out West when the time is right. Jack ends his affair with Sheri and puts her on a train out of the city. Jack tries to hunt Mona Demarkov but is attracted to her sexually and no match for her professionally. Mona offers to pay Jack to help her fake her own death.
Although he obtains false papers for her, she refuses to pay and attempts to strangle Jack. He shoots and wounds her in the arm, then tries to drive away with her handcuffed in the back seat. Mona escapes by hooking her legs around his neck, causing him to crash the car. She slithers out through the shattered windshield without freeing her hands. Mona lures Jack to an empty apartment. He again attempts to kill her but is tricked into shooting Sheri instead. Mona fixes the corpse so as to suggest that it was she, and not Sheri, who died. Mona has Jack abducted and transported to an abandoned warehouse: she handcuffs him to a bed and they have sex. Later Mona forces Jack to assist in burying Falcone alive.
Mona then betrays Jack by turning him into the police, copping a plea deal that will indict Jack for the multiple murders that she tricked him into committing. The police arrange a confrontation between Jack and Mona Demarkov at the courthouse, as he is heading in and she is heading out. She threatens to kill his wife, prompting Jack to grab a gun from the ankle holster of a fellow officer and shoot her dead. He turns the gun on himself, only to discover that the revolver is empty. Instead of being sent to prison for the murder, he is given a commendation. This frees him to begin a new life in the West, under the identity of ""Jim Daugherty"". The final scene shows Jack living alone in a remote desert town and working at a diner. He longs for Natalie's return and laments the loss of his old life."
1992,Romper Stomper ,"A gang of violent young neo-Nazi skinheads from Footscray, Victoria, Australia attack three Vietnamese Australian teenagers in a tunnel at Footscray Station, brutally beating two of them. The gang is led by Hando, a violent, reckless, and unpredictable psychopath with strong white nationalist beliefs and homicidal tendencies, with his friend and second-in-command, the quiet, reserved, but similarly violent Davey. At their local pub, Hando and Davey meet Gabrielle, who suffers from poorly controlled epilepsy, the day after her sexually abusive, affluent father Martin has her junkie boyfriend arrested. Gabrielle begins a romantic relationship with Hando, which, despite a strong start, quickly becomes dysfunctional as he becomes increasingly abusive towards her.
After the gang vandalizes a shopping mall, friends of the gang visit from Canberra, one of whom has joined the Royal Australian Navy. A party at the warehouse follows. The next day two boys go to the pub, which has just been sold to a Vietnamese businessman by the owner. Upon seeing the new owner and his sons, they inform Hando, who arrives with his gang, and they savagely beat two of the new owner's sons, while the third son escapes and calls for help. Fed up with the gang's antagonism and violence, a large mob of armed and angry Vietnamese men, led by Tiger, arrive and descend upon the skinheads. The Vietnamese outnumber the skinheads by droves, and in the ensuing brawl and chase, several skinheads are beaten by the angry mob, among them Magoo, Luke, Champ, and Brent. The rest of the gang are chased back to their rented warehouse, from which they narrowly escape as the Vietnamese mob breaks in and ransacks the building before burning it down.
The skinheads soon find a new base at a nearby warehouse, after evicting a pair of squatters, and plan retaliation against the Vietnamese. When the gang agrees to acquire firearms, two female friends of the gang depart in disgust. Gabrielle suggests the gang burgle her father's mansion for the guns. After beating and tying up Martin, the gang ransacks the house, smashes one of his cars, and raids his wine collection. The youngest skinhead, Bubs, steals a deactivated revolver from the house during the burglary. Gabrielle tells Martin the burglary is revenge for his years of abuse, then reveals to Davey her plan to take Hando away from his violent life. Martin eventually frees himself and uses a handgun to scare away the gang, who flee in the trashed vehicle and leave behind most of the stolen goods. Due to this incident, Davey begins to question his violent lifestyle.
Agitated by Gabrielle's criticism of the poor outcome of the robbery and their living conditions, Hando abruptly hits, berates, dumps, and then evicts her. Davey, unable to tolerate the excess violence and Hando's cruel and unpredictable nature any further, declares his departure from the gang and gives Gabrielle his German grandmother's address, where he will be staying. Gabrielle informs the police of the gang's location and spends the night with Davey, where they confess their feelings for each other. Davey also reveals his doubts about his violent lifestyle to Gabrielle, having removed the racist patches from his flight jacket out of concern for his grandmother.
The morning after, the police raid the warehouse where the skinhead gang is hiding. Bubs is shot in the head after pointing the stolen deactivated gun at the police, and what remains of the gang is beaten and arrested. Hando, who was returning to the warehouse and fled when he spotted the police, successfully evades capture as the last remaining member of his gang.
Arriving at Davey's granny-flat, Hando finds his friend in bed with Gabrielle. Hando accuses her of informing the police, but Davey says they were together the whole time since leaving the squat. However, Hando convinces Davey and Gabrielle to come with him by claiming the police will soon raid the residence, and the trio go on the run. They rob a service station, where Hando strangles the Asian attendant to death; and, after driving all night, they stop at Point Addis, Bells Beach the next morning. There, Gabrielle overhears a conversation wherein Hando tries to convince Davey to abandon her. Feeling betrayed, Gabrielle sets their car on fire and admits to tipping the police off about the gang's whereabouts. Hando, infuriated beyond sense, immediately attacks her and attempts to asphyxiate her multiple times, first by strangling her and then by drowning her in the surf. Davey attempts to fight Hando several times and successfully disrupts each attempt on Gabrielle's life, but he is quickly fought off and beaten down each time. Eventually, Hando attempts to smother Gabrielle in the sand, before Davey, desperate to save Gabrielle, stabs Hando in the neck with his Hitler Youth knife, who staggers away before finally collapsing. As a busload of Japanese tourists looks on, a weeping Davey attempts to comfort a petrified Gabrielle as Hando's corpse gazes lifelessly out at the ocean."
